source,cos_sim,target,level
"Не требуя для себя ничего, в конце сказки он за свою доброту и бескорыстие получает царскую (см. царь) дочь в жёны и полцарства в придачу.",0.3502908020673131,В конце сказки он женится на царской дочери и получает половину царства. ,C_to_A
"В Российской империи крест был формой многих государственных орденов, а Андреевский крест был изображен на флагах кораблей Военно-Морского Флота. ",0.2892380409777604,Форму креста имеют многие государственные ордена России.,C_to_A
Из народной сказки образ Иванушки-дурачка перешёл в авторскую. ,0.3429853471425382,Из народных сказок герой перешёл в литературные. ,C_to_A
Среди них: Спасибо деду за Победу! ,0.9999999999999999,Среди них: Спасибо деду за Победу! ,C_to_A
"Многие строки романа хорошо известны русским, их часто цитируют и выбирают в качестве эпиграфа или названия газетных статей. ",0.5286907675303699,"Русские хорошо знают многие строки из романа, выбирают их для эпиграфа или названия статьи, используют в разговоре. ",C_to_A
"В Золотой век Таганки (с 1964 по 1981 год) достать билеты в театр было крайне трудно, в зале никогда не было свободных мест. ",0.7094674852775392,В Золотой век Таганки (с 1964 по 1981 год) купить билеты в театр было очень трудно. ,C_to_A
"Зимой и летом стройная,",1.0,"Зимой и летом стройная,",C_to_A
Песня А.И. ,0.9999999999999998,Песня А.И. ,C_to_A
Расположен на северо-западе Европейской части России на р. ,0.6332517136521967,Город на северо-западе Европейской части России у Балтийского моря на реке Неве.,C_to_A
"В быту  «девочкой с персиками» могут назвать  миловидную розовощёкую  девочку, в глазах и на лице которой  отражается радость жизни.",1.0000000000000009,"В быту  «девочкой с персиками» могут назвать  миловидную розовощёкую  девочку, в глазах и на лице которой  отражается радость жизни.",C_to_A
"Крылова, Д.И. ",0.7693525631088597,Крылова и Д.И. ,C_to_A
Нерабочий день.,1.0000000000000002,Нерабочий день.,C_to_A
Многие лирические стихотворения поэта положены на музыку и стали романсами. ,0.15824394396564084,удалить поэта из столицы. ,C_to_A
С новым счастьем!». ,1.0,С новым счастьем!». ,C_to_A
"Колобку удаётся убежать от всех, кроме лисы, которая оказалась хитрее Колобка и съела его.",0.40152153012639213,"Колобок убегает от всех, кроме лисы. ",C_to_A
"На полотне изображена крестьянская (см. крестьянка) девочка, в глубокой печали сидящая на берегу пруда. ",0.28581589382015293,Художник изобразил на картине грустную деревенскую (см. деревня) девочку на берегу пруда в осеннем лесу.,C_to_A
"Главными героями новогоднего праздника с конца ХIХ в. стали сказочные персонажи – Дед Мороз и его внучка Снегурочка, которые приходят под Новый год с поздравлениями и подарками, в первую очередь – детям.",0.7744817646591429,Главными героями новогоднего праздника с конца ХIХ в. стали сказочные персонажи – Дед Мороз и его внучка Снегурочка. ,C_to_A
"Все фильмы представляют собой забавные истории о том, как друзья помогают друг другу решать любые проблемы.",0.7179620584733267,В них друзья помогают друг другу решать любые проблемы.,C_to_A
"Традиции празднования Дня России в стадии становления, но уже стало обязательным возложение цветов к памятникам героям России всех времён, проведение фестивалей искусств, народных шествий и гуляний и различных патриотических мероприятий. ",0.14569560967697423,"В праздничные дни проходят  митинги, демонстрации, фестивали искусств. ",C_to_A
