source,cos_sim,target,level
"Сказочный волшебник − олицетворение мороза, главный герой новогодних праздников (см. ",1.0000000000000002,"Сказочный волшебник − олицетворение мороза, главный герой новогодних праздников (см. ",B_to_A
Опекушина. ,0.7813573220194852,Опекушин). ,B_to_A
"Все мультфильмы («Крокодил Гена», «Чебурашка», «Шапокляк», «Чебурашка идёт в школу») представляют собой весёлые истории о приключениях друзей.",0.13840347666347336,Все фильмы – это забавные истории. ,B_to_A
С этого времени театр стали называть Малым. ,0.7158840136627521,Поэтому театр стали называть Малым. ,B_to_A
Главная Ëлка страны − в Московском Кремле.,0.9891328620768539,Главная Ëлка страны − в Московском Кремле. ,B_to_A
Всего Крылов написал более 200 басен.  ,0.6086945126187925,Крылов написал более 200 басен.Он – самый известный русский баснописец.,B_to_A
В основе сюжета лежит история любви Евгения Онегина и Татьяны Лариной. ,0.504222192243317,и Татьяны Лариной.,B_to_A
"Вопреки положительному образу Иванушки-дурачка в народных сказках, в речи эта характеристика используется с отрицательным значением, например, при описании недалёкого, простоватого человека.",0.23986237032516322,В устной разговорной речи Иванушкой-дурачком могут назвать неумного человека.,B_to_A
"Другое, более старое, название варежек − рукавицы. ",0.7575840413153787,"Другое, более старое название варежек – рукавицы, от слова рука.",B_to_A
"Сначала картины находились в апартаментах Зимнего дворца, которые назывались Эрмитаж – от французского слова «ermitage», что значит «место уединения». ",0.7161623371249015,"Картины находились в комнатах дворца, которые назывались Эрмитаж – от французского «ermitage» – «место уединения». ",B_to_A
"Герой произведения − Макар Девушкин, мелкий канцелярский чиновник и «маленький человек», открывает галерею бедных людей Достоевского, образы которых пройдут через всё его творчество. ",0.3323897591742923,Героем произведений писателя стал «маленький человек».,B_to_A
"В Петербурге прямые улицы, просторные площади, много каналов и мостов. ",0.7879253407326194,"В Петербурге прямые улицы, широкие площади, много мостов и парков.",B_to_A
"Многие строки романа хорошо известны русским, их часто цитируют и выбирают для эпиграфа или названия статей в газетах и журналах. ",0.54951263987834,"Русские хорошо знают многие строки из романа, выбирают их для эпиграфа или названия статьи, используют в разговоре. ",B_to_A
" Я от бабушки ушёл,",0.9999999999999999," Я от бабушки ушёл,",B_to_A
"В последние годы в России вошло в моду называть каждый наступающий год в соответствии с восточным календарем – год петуха, год лошади, год тигра и т. д. ",0.6851292353082744,"В последние годы в России модно называть каждый год по восточному календарю – год петуха, год лошади, год змеи и т. д.",B_to_A
"Глинки, «Князь Игорь» А.П. ",1.0,"Глинки, «Князь Игорь» А.П. ",B_to_A
"Там он встречает Татьяну Ларину, любовь которой не находит ответа в его сердце; пытается подружиться с поэтом-романтиком Владимиром Ленским, но вскоре убивает его на дуэли после нелепой ссоры. ",0.3553737435362764,После глупой ссоры он убивает Ленского на дуэли.,B_to_A
